GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JOpt Simple,joptsimple.util,InetAddressConverter,7,30,0,0,1,8,1,5,1,5
JOpt Simple,joptsimple.util,RegexMatcher,3,51,0,2,1,12,0,7,0,6
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,10,0,0,0,2,0,2,0,2
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,10,0,0,0,2,0,2,0,2
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,12,0,0,0,2,0,2,0,2
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,19,1,3,0,2,1,3,0,2
JOpt Simple,joptsimple.util,KeyValuePair,0,92,0,10,0,16,0,10,0,5
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,12,0,0,0,2,0,2,0,2
JOpt Simple,joptsimple.util,PathProperties.new PathProperties() {...},0,12,0,0,0,2,0,2,0,2
JOpt Simple,joptsimple.util,EnumConverter,7,132,0,8,1,24,1,10,1,6
JOpt Simple,joptsimple.util,DateConverter,9,101,0,8,1,23,1,10,1,6
JOpt Simple,joptsimple.util,PathConverter,0,89,0,6,0,15,0,8,0,5
JOpt Simple,joptsimple.util,PathProperties,9,81,0,0,0,11,2,3,2,3
JOpt Simple,joptsimple.internal,SimpleOptionNameMap,0,55,0,2,0,12,0,8,0,7
JOpt Simple,joptsimple.internal,ReflectionException,0,4,0,0,0,2,0,1,0,1
JOpt Simple,joptsimple.internal,Rows,0,179,0,6,0,33,0,12,0,9
JOpt Simple,joptsimple.internal,Columns,0,180,0,12,0,32,0,12,0,6
JOpt Simple,joptsimple.internal,AbbreviationMap,0,330,0,48,0,75,0,37,0,13
JOpt Simple,joptsimple.internal,Strings,0,48,0,6,0,9,0,8,0,5
JOpt Simple,joptsimple.internal,Messages,0,36,0,0,0,7,0,2,0,2
JOpt Simple,joptsimple.internal,ConstructorInvokingValueConverter,0,22,0,0,0,6,0,4,0,4
JOpt Simple,joptsimple.internal,MethodInvokingValueConverter,0,27,0,0,0,7,0,4,0,4
JOpt Simple,joptsimple.internal,Row,0,51,1,9,0,11,1,7,0,3
JOpt Simple,joptsimple.internal,Classes,0,75,0,2,0,15,0,5,0,4
JOpt Simple,joptsimple.internal,Reflection,6,140,5,15,2,33,5,14,0,9
JOpt Simple,joptsimple,OptionalArgumentOptionSpec,0,67,0,12,0,19,0,10,0,4
JOpt Simple,joptsimple,OptionSpecBuilder,12,282,1,19,1,53,1,22,0,13
JOpt Simple,joptsimple,ParserRules,0,101,1,21,0,21,1,19,0,9
JOpt Simple,joptsimple,OptionException,0,151,0,6,0,30,0,16,0,13
JOpt Simple,joptsimple,OptionSpecTokenizer,0,195,0,32,0,46,0,23,0,7
JOpt Simple,joptsimple,OptionMissingRequiredArgumentException,0,13,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,ArgumentList,0,62,0,4,0,9,0,7,0,5
JOpt Simple,joptsimple,UnconfiguredOptionException,0,17,0,0,0,5,0,3,0,3
JOpt Simple,joptsimple,BuiltinHelpFormatter,5,576,6,62,1,135,6,60,0,32
JOpt Simple,joptsimple,OptionParserState.new OptionParserState() {...},0,51,0,10,0,19,0,7,0,2
JOpt Simple,joptsimple,OptionParserState.new OptionParserState() {...},0,10,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,UnavailableOptionException,0,12,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,ArgumentAcceptingOptionSpec,1,262,1,25,0,65,1,37,0,25
JOpt Simple,joptsimple,IllegalOptionSpecificationException,0,13,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,OptionSpec,5,0,0,0,1,0,1,0,1,0
JOpt Simple,joptsimple,NoArgumentOptionSpec,0,31,0,0,0,14,0,11,0,11
JOpt Simple,joptsimple,ValueConversionException,0,10,0,0,0,4,0,2,0,2
JOpt Simple,joptsimple,MultipleArgumentsForOptionException,0,13,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,AlternativeLongOptionSpec,0,34,0,2,0,10,0,3,0,2
JOpt Simple,joptsimple,OptionParser,5,871,1,93,1,192,1,97,0,51
JOpt Simple,joptsimple,OptionSet,0,422,2,49,0,83,2,46,0,22
JOpt Simple,joptsimple,UnrecognizedOptionException,0,13,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,MissingRequiredOptionsException,0,12,0,0,0,3,0,2,0,2
JOpt Simple,joptsimple,OptionParserState,0,12,0,0,0,3,0,3,0,3
JOpt Simple,joptsimple,OptionArgumentConversionException,0,22,0,0,0,4,0,2,0,2
JOpt Simple,joptsimple,NonOptionArgumentSpec,0,72,0,2,0,24,0,16,0,15
JOpt Simple,joptsimple,ValueConverter,0,3,0,0,0,1,0,1,0,1
JOpt Simple,joptsimple,RequiredArgumentOptionSpec,0,25,0,2,0,8,0,4,0,3
JOpt Simple,joptsimple,AbstractOptionSpec,0,156,0,12,0,44,0,22,0,16
